id,x,y,type
1,673557,3912078,0.0
2,671700,3911030,0.0
3,671818,3909099,0.0
4,671991,3907999,0.0
5,671599,3906697,0.0
6,670861,3905556,0.0
7,672158,3905111,0.0
8,672714,3905546,0.0
9,675371,3904906,0.0
10,674256,3906143,0.0
11,674496,3908159,0.0
12,673456,3908909,0.0
13,674155,3909912,0.0
14,674747,3910144,0.0
15,673800,3910462,0.0
16,674483,3911483,0.0
17,677105,3910330,0.0
18,678188,3908273,0.0
19,676926,3907006,0.0
20,677896,3905538,0.0
21,678152,3904749,0.0
22,680243,3904463,0.0
23,678950,3905598,0.0
24,681269,3906610,0.0
25,680882,3907666,0.0
26,679303,3911494,0.0
27,682499,3910722,0.0
28,681692,3909689,1.0
29,682690,3908499,0.0
30,686298,3909225,0.0
31,684533,3907350,0.0
32,685442,3907151,0.0
33,687998,3907633,0.0
34,686097,3906587,0.0
35,685472,3905724,0.0
36,687168,3905462,0.0
37,687744,3905102,0.0
38,686473,3905027,1.0
39,687450,3903958,0.0
40,689650,3902437,0.0
41,693174,3902901,0.0
43,692634,3902357,0.0
44,692999,3901586,0.0
45,694012,3901377,0.0
46,694920,3900881,0.0
47,694604,3900197,0.0
48,691573,3898405,0.0
49,691246,3900843,0.0
50,689505,3901282,0.0
51,686145,3901184,0.0
52,684298,3901803,1.0
53,684699,3901104,0.0
54,684014,3898977,1.0
55,683648,3899593,0.0
56,682570,3900267,0.0
57,679696,3899980,0.0
58,680756,3899900,0.0
59,678315,3900001,0.0
60,681040,3902969,0.0
61,678528,3902687,0.0
62,676969,3900772,0.0
63,676116,3902240,0.0
64,676654,3900235,0.0
65,674092,3901546,0.0
66,677159,3904023,0.0
67,675619,3903194,0.0
68,674942,3902800,0.0
69,672146,3903604,1.0
70,671915,3902311,0.0
71,668812,3901697,0.0
72,664249,3901775,0.0
74,667358,3897928,0.0
75,668548,3892734,0.0
76,670010,3894790,1.0
77,670267,3896929,0.0
78,675010,3892538,1.0
79,676103,3893769,0.0
80,675545,3898078,0.0
81,680279,3897368,0.0
82,680735,3896078,0.0
83,680553,3894908,0.0
84,682891,3892733,0.0
85,683049,3893612,0.0
86,686754,3892178,1.0
87,684015,3895826,0.0
88,683763,3897030,0.0
89,684872,3897904,0.0
90,685404,3896754,0.0
91,686676,3895590,0.0
92,689900,3896051,0.0
