id,x,y,type,ncells,cell_indices
1,673557,3912078,0.0,320,"[15702, 15703, 15704, 15705, 15865, 15866, 15867, 15868, 16027, 16028, 16029, 16030, 16031, 16032, 16189, 16190, 16191, 16192, 16193, 16194, 16195, 16196, 16352, 16353, 16354, 16355, 16356, 16357, 16358, 16359, 16514, 16515, 16516, 16517, 16518, 16519, 16520, 16521, 16522, 16523, 16677, 16678, 16679, 16680, 16681, 16682, 16683, 16684, 16685, 16686, 16687, 16839, 16840, 16841, 16842, 16843, 16844, 16845, 16846, 16847, 16848, 16849, 16850, 17002, 17003, 17004, 17005, 17006, 17007, 17008, 17009, 17010, 17011, 17012, 17013, 17014, 17164, 17165, 17166, 17167, 17168, 17169, 17170, 17171, 17172, 17173, 17174, 17175, 17176, 17177, 17178, 17326, 17327, 17328, 17329, 17330, 17331, 17332, 17333, 17334, 17335, 17336, 17337, 17338, 17339, 17340, 17341, 17489, 17490, 17491, 17492, 17493, 17494, 17495, 17496, 17497, 17498, 17499, 17500, 17501, 17502, 17503, 17504, 17505, 17651, 17652, 17653, 17654, 17655, 17656, 17657, 17658, 17659, 17660, 17661, 17662, 17663, 17664, 17665, 17666, 17667, 17668, 17669, 17814, 17815, 17816, 17817, 17818, 17819, 17820, 17821, 17822, 17823, 17824, 17825, 17826, 17827, 17828, 17829, 17830, 17831, 17832, 17976, 17977, 17978, 17979, 17980, 17981, 17982, 17983, 17984, 17985, 17986, 17987, 17988, 17989, 17990, 17991, 17992, 17993, 17994, 17995, 17996, 18139, 18140, 18141, 18142, 18143, 18144, 18145, 18146, 18147, 18148, 18149, 18150, 18151, 18152, 18153, 18154, 18155, 18156, 18157, 18158, 18159, 18301, 18302, 18303, 18304, 18305, 18306, 18307, 18308, 18309, 18310, 18311, 18312, 18313, 18314, 18315, 18316, 18317, 18318, 18319, 18320, 18321, 18322, 18323, 18464, 18465, 18466, 18467, 18468, 18469, 18470, 18471, 18472, 18473, 18474, 18475, 18476, 18477, 18478, 18479, 18480, 18481, 18482, 18483, 18484, 18485, 18486, 18487, 18628, 18629, 18630, 18631, 18632, 18633, 18634, 18635, 18636, 18637, 18638, 18639, 18640, 18641, 18642, 18643, 18644, 18645, 18646, 18647, 18648, 18649, 18792, 18793, 18794, 18795, 18796, 18797, 18798, 18799, 18800, 18801, 18802, 18803, 18804, 18805, 18806, 18807, 18808, 18809, 18810, 18811, 18957, 18958, 18959, 18960, 18961, 18962, 18963, 18964, 18965, 18966, 18967, 18968, 18969, 18970, 18971, 18972, 19123, 19124, 19125, 19126, 19127, 19128, 19129, 19130, 19131, 19132, 19133]"
2,671700,3911030,0.0,320,"[14866, 14867, 14868, 14869, 14870, 14871, 14872, 14873, 14874, 14875, 14876, 14877, 14878, 14879, 14880, 14881, 15029, 15030, 15031, 15032, 15033, 15034, 15035, 15036, 15037, 15038, 15039, 15040, 15041, 15042, 15043, 15044, 15045, 15046, 15047, 15048, 15049, 15192, 15193, 15194, 15195, 15196, 15197, 15198, 15199, 15200, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15355, 15356, 15357, 15358, 15359, 15360, 15361, 15362, 15363, 15364, 15365, 15366, 15367, 15368, 15369, 15370, 15371, 15372, 15373, 15374, 15375, 15518, 15519, 15520, 15521, 15522, 15523, 15524, 15525, 15526, 15527, 15528, 15529, 15530, 15531, 15532, 15533, 15534, 15535, 15536, 15537, 15538, 15681, 15682, 15683, 15684, 15685, 15686, 15687, 15688, 15689, 15690, 15691, 15692, 15693, 15694, 15695, 15696, 15697, 15698, 15699, 15700, 15701, 15844, 15845, 15846, 15847, 15848, 15849, 15850, 15851, 15852, 15853, 15854, 15855, 15856, 15857, 15858, 15859, 15860, 15861, 15862, 15863, 15864, 16007, 16008, 16009, 16010, 16011, 16012, 16013, 16014, 16015, 16016, 16017, 16018, 16019, 16020, 16021, 16022, 16023, 16024, 16025, 16026, 16170, 16171, 16172, 16173, 16174, 16175, 16176, 16177, 16178, 16179, 16180, 16181, 16182, 16183, 16184, 16185, 16186, 16187, 16188, 16333, 16334, 16335, 16336, 16337, 16338, 16339, 16340, 16341, 16342, 16343, 16344, 16345, 16346, 16347, 16348, 16349, 16350, 16351, 16497, 16498, 16499, 16500, 16501, 16502, 16503, 16504, 16505, 16506, 16507, 16508, 16509, 16510, 16511, 16512, 16513, 16660, 16661, 16662, 16663, 16664, 16665, 16666, 16667, 16668, 16669, 16670, 16671, 16672, 16673, 16674, 16675, 16676, 16824, 16825, 16826, 16827, 16828, 16829, 16830, 16831, 16832, 16833, 16834, 16835, 16836, 16837, 16838, 16987, 16988, 16989, 16990, 16991, 16992, 16993, 16994, 16995, 16996, 16997, 16998, 16999, 17000, 17001, 17151, 17152, 17153, 17154, 17155, 17156, 17157, 17158, 17159, 17160, 17161, 17162, 17163, 17315, 17316, 17317, 17318, 17319, 17320, 17321, 17322, 17323, 17324, 17325, 17479, 17480, 17481, 17482, 17483, 17484, 17485, 17486, 17487, 17488, 17643, 17644, 17645, 17646, 17647, 17648, 17649, 17650, 17807, 17808, 17809, 17810, 17811, 17812, 17813, 17971, 17972, 17973, 17974, 17975, 18137, 18138]"
3,671818,3909099,0.0,182,"[13726, 13727, 13728, 13729, 13730, 13731, 13732, 13733, 13734, 13735, 13885, 13886, 13887, 13888, 13889, 13890, 13891, 13892, 13893, 13894, 13895, 13896, 13897, 13898, 13899, 13900, 13901, 13902, 13903, 13904, 13905, 14045, 14046, 14047, 14048, 14049, 14050, 14051, 14052, 14053, 14054, 14055, 14056, 14057, 14058, 14059, 14060, 14061, 14062, 14063, 14064, 14065, 14066, 14067, 14068, 14069, 14070, 14204, 14205, 14206, 14207, 14208, 14209, 14210, 14211, 14212, 14213, 14214, 14215, 14216, 14217, 14218, 14219, 14220, 14221, 14222, 14223, 14224, 14225, 14226, 14227, 14228, 14229, 14230, 14231, 14232, 14233, 14234, 14364, 14365, 14366, 14367, 14368, 14369, 14370, 14371, 14372, 14373, 14374, 14375, 14376, 14377, 14378, 14379, 14380, 14381, 14382, 14383, 14384, 14385, 14386, 14387, 14388, 14389, 14390, 14391, 14392, 14393, 14394, 14395, 14396, 14397, 14526, 14527, 14528, 14529, 14530, 14531, 14532, 14533, 14534, 14535, 14536, 14537, 14538, 14539, 14540, 14541, 14542, 14543, 14544, 14545, 14546, 14547, 14548, 14549, 14550, 14551, 14552, 14553, 14554, 14555, 14556, 14557, 14558, 14559, 14560, 14703, 14704, 14705, 14706, 14707, 14708, 14709, 14710, 14711, 14712, 14713, 14714, 14715, 14716, 14717, 14718, 14719, 14720, 14721, 14722, 14723, 14882, 14883, 14884, 14885]"
4,671991,3907999,0.0,54,"[12931, 13091, 13092, 13093, 13094, 13095, 13250, 13251, 13252, 13253, 13254, 13255, 13256, 13257, 13258, 13410, 13411, 13412, 13413, 13414, 13415, 13416, 13417, 13418, 13419, 13420, 13421, 13570, 13571, 13572, 13573, 13574, 13575, 13576, 13577, 13578, 13579, 13580, 13581, 13582, 13583, 13736, 13737, 13738, 13739, 13740, 13741, 13742, 13743, 13744, 13745, 13906, 13907, 13908]"
5,671599,3906697,0.0,67,"[12273, 12274, 12275, 12435, 12436, 12437, 12438, 12439, 12596, 12597, 12598, 12599, 12600, 12601, 12602, 12603, 12758, 12759, 12760, 12761, 12762, 12763, 12764, 12765, 12766, 12767, 12919, 12920, 12921, 12922, 12923, 12924, 12925, 12926, 12927, 12928, 12929, 12930, 13081, 13082, 13083, 13084, 13085, 13086, 13087, 13088, 13089, 13090, 13242, 13243, 13244, 13245, 13246, 13247, 13248, 13249, 13404, 13405, 13406, 13407, 13408, 13409, 13565, 13566, 13567, 13568, 13569]"
6,670861,3905556,0.0,304,"[10799, 10800, 10801, 10960, 10961, 10962, 10963, 10964, 10965, 10966, 11121, 11122, 11123, 11124, 11125, 11126, 11127, 11128, 11129, 11130, 11282, 11283, 11284, 11285, 11286, 11287, 11288, 11289, 11290, 11291, 11292, 11293, 11294, 11443, 11444, 11445, 11446, 11447, 11448, 11449, 11450, 11451, 11452, 11453, 11454, 11455, 11456, 11457, 11605, 11606, 11607, 11608, 11609, 11610, 11611, 11612, 11613, 11614, 11615, 11616, 11617, 11618, 11619, 11620, 11621, 11766, 11767, 11768, 11769, 11770, 11771, 11772, 11773, 11774, 11775, 11776, 11777, 11778, 11779, 11780, 11781, 11782, 11783, 11784, 11928, 11929, 11930, 11931, 11932, 11933, 11934, 11935, 11936, 11937, 11938, 11939, 11940, 11941, 11942, 11943, 11944, 11945, 11946, 11947, 12090, 12091, 12092, 12093, 12094, 12095, 12096, 12097, 12098, 12099, 12100, 12101, 12102, 12103, 12104, 12105, 12106, 12107, 12108, 12109, 12110, 12111, 12253, 12254, 12255, 12256, 12257, 12258, 12259, 12260, 12261, 12262, 12263, 12264, 12265, 12266, 12267, 12268, 12269, 12270, 12271, 12272, 12415, 12416, 12417, 12418, 12419, 12420, 12421, 12422, 12423, 12424, 12425, 12426, 12427, 12428, 12429, 12430, 12431, 12432, 12433, 12434, 12578, 12579, 12580, 12581, 12582, 12583, 12584, 12585, 12586, 12587, 12588, 12589, 12590, 12591, 12592, 12593, 12594, 12595, 12740, 12741, 12742, 12743, 12744, 12745, 12746, 12747, 12748, 12749, 12750, 12751, 12752, 12753, 12754, 12755, 12756, 12757, 12902, 12903, 12904, 12905, 12906, 12907, 12908, 12909, 12910, 12911, 12912, 12913, 12914, 12915, 12916, 12917, 12918, 13065, 13066, 13067, 13068, 13069, 13070, 13071, 13072, 13073, 13074, 13075, 13076, 13077, 13078, 13079, 13080, 13227, 13228, 13229, 13230, 13231, 13232, 13233, 13234, 13235, 13236, 13237, 13238, 13239, 13240, 13241, 13390, 13391, 13392, 13393, 13394, 13395, 13396, 13397, 13398, 13399, 13400, 13401, 13402, 13403, 13552, 13553, 13554, 13555, 13556, 13557, 13558, 13559, 13560, 13561, 13562, 13563, 13564, 13715, 13716, 13717, 13718, 13719, 13720, 13721, 13722, 13723, 13724, 13725, 13877, 13878, 13879, 13880, 13881, 13882, 13883, 13884, 14039, 14040, 14041, 14042, 14043, 14044, 14202, 14203]"
7,672158,3905111,0.0,26,"[11295, 11296, 11297, 11298, 11299, 11300, 11301, 11458, 11459, 11460, 11461, 11462, 11463, 11622, 11623, 11624, 11625, 11626, 11785, 11786, 11787, 11788, 11948, 11949, 11950, 12112]"
8,672714,3905546,0.0,45,"[11140, 11141, 11302, 11303, 11304, 11305, 11464, 11465, 11466, 11467, 11468, 11627, 11628, 11629, 11630, 11789, 11790, 11791, 11792, 11793, 11951, 11952, 11953, 11954, 11955, 12113, 12114, 12115, 12116, 12117, 12118, 12276, 12277, 12278, 12279, 12280, 12281, 12440, 12441, 12442, 12443, 12604, 12605, 12606, 12768]"
9,675371,3904906,0.0,65,"[10981, 10982, 10983, 10984, 10985, 11142, 11143, 11144, 11145, 11146, 11147, 11148, 11149, 11150, 11151, 11306, 11307, 11308, 11309, 11310, 11311, 11312, 11313, 11314, 11469, 11470, 11471, 11472, 11473, 11474, 11475, 11476, 11477, 11478, 11633, 11634, 11635, 11636, 11637, 11638, 11639, 11640, 11641, 11797, 11798, 11799, 11800, 11801, 11802, 11803, 11804, 11961, 11962, 11963, 11964, 11965, 11966, 11967, 12125, 12126, 12127, 12128, 12129, 12290, 12291]"
10,674256,3906143,0.0,62,"[11631, 11632, 11794, 11795, 11796, 11956, 11957, 11958, 11959, 11960, 12119, 12120, 12121, 12122, 12123, 12124, 12282, 12283, 12284, 12285, 12286, 12287, 12288, 12289, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 12607, 12608, 12609, 12610, 12611, 12612, 12613, 12614, 12615, 12769, 12770, 12771, 12772, 12773, 12774, 12775, 12776, 12777, 12778, 12932, 12933, 12934, 12935, 12936, 12937, 12938, 12939, 12940]"
